Elo	Username	W	L	T	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
1230.064229831811	devstixorcom	20	7	0	Sun Mar 05 2023 22:58:36 GMT+0500 (Pakistan Standard Time)
1167.7044998330339	Takbeel	7	20	0	Sun Mar 05 2023 22:58:36 GMT+0500 (Pakistan Standard Time)
1045	poktrainer1	1	0	0	Mon Mar 06 2023 03:03:24 GMT+0500 (Pakistan Standard Time)
1000	poktrainer2	0	1	0	Mon Mar 06 2023 03:03:24 GMT+0500 (Pakistan Standard Time)
